id_bourse,nom,prenom,sexe,date_naissance,annee_academique,type_bourse,code_formation,cycle,niveau
1,DIARRA,Moussa,M,2004-03-12,2024-2025,Excellence,ILD,Licence,L1
2,TRAORE,Aminata,F,2005-07-21,2024-2025,Nationale,ILD,Licence,L1
3,KONE,Bakary,M,2004-11-05,2024-2025,Excellence,ILD,Licence,L1
4,COULIBALY,Fatoumata,F,2005-01-19,2024-2025,Nationale,ILD,Licence,L1
5,KEITA,Oumar,M,2004-09-14,2024-2025,Excellence,ILD,Licence,L1
6,SYLLA,Mariam,F,2005-06-03,2024-2025,Nationale,ILD,Licence,L1
7,SANOGO,Adama,M,2004-12-10,2024-2025,Excellence,ILD,Licence,L1
8,DEMBELE,Sali,F,2005-02-25,2024-2025,Nationale,ILD,Licence,L1
9,TOURE,Amadou,M,2004-08-08,2024-2025,Excellence,ILD,Licence,L1
10,SIDIBE,Fanta,F,2005-05-17,2024-2025,Nationale,ILD,Licence,L1
11,DABO,Abdoulaye,M,2004-04-01,2024-2025,Excellence,ILD,Licence,L1
12,BATHILY,Samba,M,2005-09-09,2024-2025,Nationale,ILD,Licence,L1
13,TANGARA,Yacouba,M,2004-06-15,2024-2025,Excellence,ILD,Licence,L1
14,SAKHO,Oumou,F,2005-03-11,2024-2025,Nationale,ILD,Licence,L1
15,CAMARA,Lamine,M,2004-06-11,2024-2025,Excellence,SRT,Licence,L1
16,DIAKITE,Fatoumata,F,2005-03-04,2024-2025,Nationale,SRT,Licence,L1
17,MAIGA,Ousmane,M,2004-10-20,2024-2025,Excellence,SRT,Licence,L1
18,CISSE,Kadidia,F,2005-07-30,2024-2025,Nationale,SRT,Licence,L1
19,DOLO,Youssouf,M,2004-01-15,2024-2025,Excellence,SRT,Licence,L1
20,SOW,Ibrahim,M,2005-11-02,2024-2025,Nationale,SRT,Licence,L1
21,DIALLO,Mamadou,M,2004-05-27,2024-2025,Excellence,SRT,Licence,L1
22,TRAORE,Sitan,F,2005-08-14,2024-2025,Nationale,SRT,Licence,L1
23,NIANG,Cheick,M,2004-09-06,2024-2025,Excellence,SRT,Licence,L1
24,TRAORE,Youssouf,M,2004-12-18,2024-2025,Nationale,SRT,Licence,L1
25,KONE,Awa,F,2005-02-22,2024-2025,Excellence,SRT,Licence,L1
26,BARRY,Moussa,M,2004-07-19,2024-2025,Nationale,SRT,Licence,L1
27,KEITA,Assitan,F,2002-04-04,2024-2025,Nationale,DAS,MASTER,M1
28,DIAWARA,Moussa,M,2001-06-15,2024-2025,Excellence,DAS,MASTER,M1
29,TRAORE,Modibo,M,2002-02-22,2024-2025,Nationale,DAS,MASTER,M1
30,SACKO,Bintou,F,2001-11-30,2024-2025,Excellence,DAS,MASTER,M1
31,SANOGO,Oumar,M,2002-08-09,2024-2025,Nationale,DAS,MASTER,M1
32,KONARE,Fatoumata,F,2001-03-17,2024-2025,Excellence,DAS,MASTER,M1
33,TOURE,Boubacar,M,2002-10-25,2024-2025,Nationale,DAS,MASTER,M1
34,COULIBALY,Issa,M,2001-01-13,2024-2025,Excellence,DAS,MASTER,M1
35,SIDIBE,Hawa,F,2002-06-06,2024-2025,Nationale,DAS,MASTER,M1
36,TOURE,Salif,M,2001-09-19,2024-2025,Excellence,DAS,MASTER,M1
37,COULIBALY,Seydou,M,2001-05-05,2024-2025,Excellence,WBM,MASTER,M1
38,SIDIBE,Mahamadou,M,2002-07-07,2024-2025,Nationale,WBM,MASTER,M1
39,DIARRA,Aminata,F,2001-09-19,2024-2025,Excellence,WBM,MASTER,M1
40,MAIGA,Abdoulaye,M,2002-12-02,2024-2025,Nationale,WBM,MASTER,M1
41,DIALLO,Ramata,F,2001-04-14,2024-2025,Excellence,WBM,MASTER,M1
42,SYLLA,Abdoulaye,M,2001-04-10,2024-2025,Nationale,SRS,MASTER,M1
43,TRAORE,Fanta,F,2002-06-21,2024-2025,Excellence,SRS,MASTER,M1
44,CISSE,Mamadou,M,2001-08-18,2024-2025,Nationale,SRS,MASTER,M1
45,MAIGA,Ramata,F,2002-10-29,2024-2025,Excellence,SRS,MASTER,M1
46,BENGALY,Drissa,M,2004-03-18,2024-2025,Excellence,FNC,Licence,L1
47,MAIGA,Awa,F,2005-07-09,2024-2025,Nationale,FNC,Licence,L1
48,DIARRA,Moussa,M,2004-11-21,2024-2025,Excellence,FNC,Licence,L1
49,TRAORE,Aminata,F,2005-01-30,2024-2025,Nationale,FNC,Licence,L1
50,KONE,Bakary,M,2004-09-05,2024-2025,Excellence,FNC,Licence,L1
51,COULIBALY,Fatoumata,F,2005-06-17,2024-2025,Nationale,FNC,Licence,L1
52,KEITA,Oumar,M,2004-12-12,2024-2025,Excellence,FNC,Licence,L1
53,SYLLA,Mariam,F,2005-02-08,2024-2025,Nationale,FNC,Licence,L1
54,SANOGO,Adama,M,2004-08-26,2024-2025,Excellence,FNC,Licence,L1
55,DEMBELE,Sali,F,2005-05-14,2024-2025,Nationale,FNC,Licence,L1
56,TOURE,Amadou,M,2004-06-02,2024-2025,Excellence,GRH,Licence,L1
57,SIDIBE,Fanta,F,2005-09-11,2024-2025,Nationale,GRH,Licence,L1
58,DABO,Abdoulaye,M,2004-04-19,2024-2025,Excellence,GRH,Licence,L1
59,BATHILY,Samba,M,2005-01-07,2024-2025,Nationale,GRH,Licence,L1
60,TANGARA,Yacouba,M,2004-07-23,2024-2025,Excellence,GRH,Licence,L1
61,SAKHO,Oumou,F,2005-03-29,2024-2025,Nationale,GRH,Licence,L1
62,CAMARA,Lamine,M,2004-10-16,2024-2025,Excellence,GRH,Licence,L1
63,DIAKITE,Fatoumata,F,2005-12-01,2024-2025,Nationale,GRH,Licence,L1
64,TRAORE,Sitan,F,2002-06-06,2024-2025,Nationale,MPR,MASTER,M1
65,NIANG,Cheick,M,2001-08-14,2024-2025,Excellence,MPR,MASTER,M1
66,TOURE,Alimatou,F,2002-11-25,2024-2025,Nationale,MPR,MASTER,M1
67,FOFANA,Moussa,M,2001-03-17,2024-2025,Excellence,MPR,MASTER,M1
68,SAMAKE,Ibrahim,M,2002-09-09,2024-2025,Nationale,MPR,MASTER,M1
69,NIANG,Mamadou,M,2001-05-28,2024-2025,Excellence,MPR,MASTER,M1
70,TRAORE,Awa,F,2002-02-11,2024-2025,Nationale,MPR,MASTER,M1
71,MAIGA,Ousmane,M,2001-04-04,2024-2025,Excellence,CAC,MASTER,M1
72,CISSE,Kadidia,F,2002-07-19,2024-2025,Nationale,CAC,MASTER,M1
73,DOLO,Youssouf,M,2001-10-10,2024-2025,Excellence,CAC,MASTER,M1
74,SOW,Ibrahim,M,2002-01-22,2024-2025,Nationale,CAC,MASTER,M1
75,DIALLO,Mamadou,M,2001-06-15,2024-2025,Excellence,CAC,MASTER,M1
76,COULIBALY,Oumou,F,2005-03-03,2024-2025,Nationale,DGN,Licence,L1
77,DIOP,Cheick,M,2004-08-18,2024-2025,Excellence,DGN,Licence,L1
78,TALL,Fatim,F,2005-11-26,2024-2025,Nationale,DGN,Licence,L1
79,BABY,Abdoulaye,M,2004-02-07,2024-2025,Excellence,DGN,Licence,L1
80,CISSE,Kadiatou,F,2005-05-15,2024-2025,Nationale,DGN,Licence,L1
81,HAIDARA,Alou,M,2004-09-09,2024-2025,Excellence,DGN,Licence,L1
82,SIMPARA,Oumar,M,2005-01-30,2024-2025,Nationale,DGN,Licence,L1
83,KONE,Bakary,M,2004-06-21,2024-2025,Excellence,DGN,Licence,L1
84,SOUMARE,Djeneba,F,2005-04-12,2024-2025,Nationale,CAJ,Licence,L1
85,COULIBALY,Ibrahim,M,2004-10-03,2024-2025,Excellence,CAJ,Licence,L1
86,KEITA,Assitan,F,2005-07-27,2024-2025,Nationale,CAJ,Licence,L1
87,DIAWARA,Moussa,M,2004-12-19,2024-2025,Excellence,CAJ,Licence,L1
88,TRAORE,Modibo,M,2005-02-06,2024-2025,Nationale,CAJ,Licence,L1
89,YATTARA,Oumou,F,2004-09-14,2024-2025,Excellence,CAJ,Licence,L1
90,SACKO,Bintou,F,2002-01-09,2024-2025,Excellence,DAF,MASTER,M1
91,SANOGO,Oumar,M,2001-04-23,2024-2025,Nationale,DAF,MASTER,M1
92,KONARE,Fatoumata,F,2002-08-30,2024-2025,Excellence,DAF,MASTER,M1
93,TOURE,Boubacar,M,2001-11-11,2024-2025,Nationale,DAF,MASTER,M1
94,TRAORE,Ibrahim,M,2002-03-05,2024-2025,Excellence,DAF,MASTER,M1
95,MAIGA,Rokia,F,2001-06-17,2024-2025,Nationale,DAF,MASTER,M1
96,DEMBELE,Mariam,F,2002-05-20,2024-2025,Excellence,DPB,MASTER,M1
97,COULIBALY,Seydou,M,2001-09-08,2024-2025,Nationale,DPB,MASTER,M1
98,SIDIBE,Mahamadou,M,2002-12-01,2024-2025,Excellence,DPB,MASTER,M1
99,DIARRA,Aminata,F,2001-02-14,2024-2025,Nationale,DPB,MASTER,M1
100,SYLLA,Fatoumata,F,2002-07-07,2024-2025,Excellence,DPB,MASTER,M1
